old_species,new_species,ani,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date,biosample,genome
Acinetobacter baumannii,Acinetobacter baumannii,0.9824420086067148,SRR2916633,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,23812239,leg,USA,,SRS1162479,ENA_SAMN04254728
Acinetobacter baumannii,Acinetobacter baumannii,0.9822992595314604,SRR3130309,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Wound,USA,,SRS1267047,ENA_SAMN04445874
Acinetobacter baumannii,Acinetobacter baumannii,0.9838048104909378,SRR3130307,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Wound,USA,,SRS1267048,ENA_SAMN04445872
Acinetobacter baumannii,Acinetobacter baumannii,0.9834009739356704,SRR3131127,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,URINE,USA,,SRS1267420,ENA_SAMN04446435
Acinetobacter baumannii,Acinetobacter baumannii,0.9830419625114764,SRR3131131,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Surveillance,USA,,SRS1267423,ENA_SAMN04446437
Acinetobacter baumannii,Acinetobacter baumannii,0.9826560099187338,SRR3131146,Intermediate,ceftazidime,,16.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Tissue,USA,,SRS1267439,ENA_SAMN04446440
Acinetobacter baumannii,Acinetobacter baumannii,0.9826696643670162,SRR3131154,Susceptible,ceftazidime,=,8.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Surveillance,USA,,SRS1267447,ENA_SAMN04446448
Acinetobacter baumannii,Acinetobacter baumannii,0.980456516241156,SRR3131170,Susceptible,ceftazidime,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Warwound,USA,,SRS1267450,ENA_SAMN04446464
Acinetobacter baumannii,Acinetobacter baumannii,0.9807746950004206,SRR3131166,Resistant,ceftazidime,,32.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Warwound,USA,,SRS1267454,ENA_SAMN04446460
Acinetobacter baumannii,Acinetobacter baumannii,0.9822862918332368,SRR3131165,Intermediate,ceftazidime,,16.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Wound,USA,,SRS1267455,ENA_SAMN04446459
Acinetobacter baumannii,Acinetobacter baumannii,0.9822803223242296,SRR3131159,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Blood,USA,,SRS1267461,ENA_SAMN04446453
Acinetobacter baumannii,Acinetobacter baumannii,0.9826520757637904,SRR3131215,Susceptible,ceftazidime,=,8.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Surveillance,USA,,SRS1267497,ENA_SAMN04446477
Acinetobacter baumannii,Acinetobacter baumannii,0.9826735995852284,SRR3131212,Susceptible,ceftazidime,=,8.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Surveillance,USA,,SRS1267500,ENA_SAMN04446474
Acinetobacter baumannii,Acinetobacter baumannii,0.9826560099187338,SRR3131210,Intermediate,ceftazidime,,16.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Surveillance,USA,,SRS1267503,ENA_SAMN04446472
Acinetobacter baumannii,Acinetobacter baumannii,0.9831076877946006,SRR3131219,Intermediate,ceftazidime,,16.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Wound,USA,,SRS1267512,ENA_SAMN04446540
Acinetobacter baumannii,Acinetobacter baumannii,0.9824642438376676,SRR3131217,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Wound,USA,,SRS1267514,ENA_SAMN04446538
Acinetobacter baumannii,Acinetobacter baumannii,0.9818067639817276,SRR3131230,Susceptible,ceftazidime,=,4.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Wound,USA,,SRS1267519,ENA_SAMN04446551
Acinetobacter baumannii,Acinetobacter baumannii,0.9831076877946006,SRR3131227,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Wound,USA,,SRS1267522,ENA_SAMN04446548
Acinetobacter baumannii,Acinetobacter baumannii,0.9808317374958178,SRR3131224,Susceptible,ceftazidime,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Blood,USA,,SRS1267525,ENA_SAMN04446545
Acinetobacter baumannii,Acinetobacter baumannii,0.9808354488955984,SRR3131223,Susceptible,ceftazidime,=,8.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Wound,USA,,SRS1267526,ENA_SAMN04446544
Acinetobacter baumannii,Acinetobacter baumannii,0.9806058677499724,SRR3131222,Susceptible,ceftazidime,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Wound,USA,,SRS1267527,ENA_SAMN04446543
Acinetobacter baumannii,Acinetobacter baumannii,0.9830838138172088,SRR3131221,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Wound,USA,,SRS1267528,ENA_SAMN04446542
Acinetobacter baumannii,Acinetobacter baumannii,0.9807548406523112,SRR3131238,Susceptible,ceftazidime,=,8.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Wound,USA,,SRS1267531,ENA_SAMN04446559
Acinetobacter baumannii,Acinetobacter baumannii,0.9830118433257288,SRR3131235,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Surveillance,USA,,SRS1267534,ENA_SAMN04446556
Acinetobacter baumannii,Acinetobacter baumannii,0.9826560099187338,SRR3131150,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Surveillance,USA,,SRS1267611,ENA_SAMN04446444
Acinetobacter baumannii,Acinetobacter baumannii,0.9826557944283968,SRR3131149,Intermediate,ceftazidime,,16.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Wound,USA,,SRS1267612,ENA_SAMN04446443
Acinetobacter baumannii,Acinetobacter baumannii,0.982687519510268,SRR3133103,Susceptible,ceftazidime,=,4.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Sterile Body Site,USA,,SRS1268494,ENA_SAMN04447718
Acinetobacter baumannii,Acinetobacter baumannii,0.9824972076202808,SRR3133099,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Sterile Fluid,USA,,SRS1268498,ENA_SAMN04447714
Acinetobacter baumannii,Acinetobacter baumannii,0.9826520757637904,SRR3133096,Intermediate,ceftazidime,,16.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Surveillance,USA,,SRS1268501,ENA_SAMN04447711
Acinetobacter baumannii,Acinetobacter baumannii,0.9826560099187338,SRR3133093,Intermediate,ceftazidime,,16.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Sterile Body Site,USA,,SRS1268523,ENA_SAMN04447708
