genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Staphylococcus,aureus,ERR030171,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418941,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030270,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR419039,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR029380,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030252,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030270,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030234,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030246,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418332,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418365,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419039,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418607,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030145,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418425,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030270,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418766,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030281,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418991,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418991,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418607,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030213,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR053031,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030281,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030234,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418364,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030258,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418941,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR029354,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030171,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418766,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418376,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419060,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418326,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418575,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419214,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418755,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418575,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030214,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030213,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418771,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030246,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030246,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030277,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030145,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418742,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418332,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418766,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418976,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030145,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418376,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR029363,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR053031,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR029367,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR029380,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418742,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030258,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR029363,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418326,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418871,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR410094,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418921,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418557,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418634,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419237,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418705,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418397,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418557,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419067,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR410059,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418705,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418790,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR410068,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418602,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418602,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418634,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418711,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418711,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418711,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418650,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419063,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418983,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418921,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418806,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418790,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR410105,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418994,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418806,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR410059,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR029354,Susceptible,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR419237,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR410068,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419063,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418432,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR029341,Susceptible,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR410105,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418397,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418604,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419063,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418432,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418604,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR029468,Susceptible,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR029341,Susceptible,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418852,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418694,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418694,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR410094,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418705,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419067,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418852,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418994,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418871,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418983,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418650,Susceptible,ERY,,,,,,CLSI,2013,26686880,,,
Escherichia,coli,SRR5750477,Susceptible,GEN,=,1.0,mg/L,Broth dilution,,CLSI,2013,,CP021682,,CP021681
Escherichia,coli,SRR5750477,Susceptible,GEN,=,1.0,mg/L,Broth dilution,,CLSI,2013,,CP021682,,CP021681
Escherichia,coli,SRR2134681,Susceptible,GEN,<=,1.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,blood,USA,
Escherichia,coli,SRR1187784,Resistant,GEN,,16.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,urine,USA,
Escherichia,coli,SRR2134681,Resistant,GEN,,20.0,mm,Disk diffusion,,CLSI,2013,,blood,USA,
Escherichia,coli,SRR1187784,Resistant,GEN,,16.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,urine,USA,
Escherichia,coli,SRR1187784,Resistant,GEN,,16.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,urine,USA,
Escherichia,coli,SRR1187784,Resistant,GEN,,16.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,urine,USA,
Escherichia,coli,SRR1187784,Resistant,GEN,,16.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,urine,USA,
Acinetobacter,baumannii,SRR3137575,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Wound,USA,
Acinetobacter,baumannii,SRR3170236,Susceptible,CAZ,<=,2.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Wound,USA,
Acinetobacter,baumannii,SRR3170242,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Tissue,USA,
Acinetobacter,baumannii,SRR3170610,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Surveillance,USA,
Acinetobacter,baumannii,SRR2075900,Susceptible,CAZ,,8.0,mg/L,Broth dilution,,CLSI,2013,26195261,Feces,Sweden,
Acinetobacter,baumannii,SRR3151889,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,VITEK 2,CLSI,2013,,Blood,USA,
Acinetobacter,baumannii,SRR3170254,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Wound,USA,
Acinetobacter,baumannii,SRR3170256,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Wound,USA,
Acinetobacter,baumannii,SRR3225044,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,WOUND,USA,
Acinetobacter,baumannii,SRR3131238,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Wound,USA,
Acinetobacter,baumannii,SRR3152495,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Surveillance,USA,
Acinetobacter,baumannii,SRR3223470,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,STERILE BODY SITE,USA,
Acinetobacter,baumannii,SRR3152502,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Surveillance,USA,
Acinetobacter,baumannii,SRR3170779,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Surveillance,USA,
Acinetobacter,baumannii,SRR3170783,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Surveillance,USA,
Acinetobacter,baumannii,SRR3242034,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,TISSUE,USA,
Acinetobacter,baumannii,SRR3170783,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Surveillance,USA,
Acinetobacter,baumannii,SRR3170776,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Surveillance,USA,
Acinetobacter,baumannii,SRR3131209,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Wound,USA,
Acinetobacter,baumannii,SRR3170254,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Wound,USA,
Acinetobacter,baumannii,SRR2911726,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,25824815,sterile tissue of foot,USA,
Acinetobacter,baumannii,SRR3152495,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Surveillance,USA,
Acinetobacter,baumannii,SRR3224234,Susceptible,CAZ,<=,2.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,WOUND,USA,
Acinetobacter,baumannii,SRR3225233,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,WOUND,USA,
Acinetobacter,baumannii,SRR3217406,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,WOUND,USA,
Acinetobacter,baumannii,SRR3131208,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,Wound,USA,
Acinetobacter,baumannii,SRR3225244,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,WOUND,USA,
Acinetobacter,baumannii,SRR3170242,Susceptible,CAZ,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,,Tissue,USA,
Acinetobacter,baumannii,SRR3170261,Susceptible,CAZ,=,4.0,mg/L,Broth dilution,MicroScan,CLSI,2013,,,USA,
