accession,old_species,new_species,comments
SRR3131152,Acinetobacter baumannii,NA,NA
SRR3131154,Acinetobacter baumannii,NA,NA
SRR3131155,Acinetobacter baumannii,NA,NA
SRR3131156,Acinetobacter baumannii,NA,NA
SRR3131157,Acinetobacter baumannii,NA,NA
SRR3131158,Acinetobacter baumannii,NA,NA
SRR3131159,Acinetobacter baumannii,NA,NA
SRR3131162,Acinetobacter baumannii,NA,NA
SRR3131163,Acinetobacter baumannii,NA,NA
SRR3131164,Acinetobacter baumannii,NA,NA
SRR3131165,Acinetobacter baumannii,NA,NA
SRR3131166,Acinetobacter baumannii,NA,NA
SRR3131167,Acinetobacter baumannii,NA,NA
SRR3131168,Acinetobacter baumannii,NA,NA
SRR3131169,Acinetobacter baumannii,NA,NA
SRR3131170,Acinetobacter baumannii,NA,NA
SRR3131171,Acinetobacter baumannii,NA,NA
SRR3131172,Acinetobacter baumannii,NA,NA
SRR3131173,Acinetobacter baumannii,NA,NA
SRR3131206,Acinetobacter baumannii,NA,NA
SRR3131207,Acinetobacter baumannii,NA,NA
SRR3131208,Acinetobacter baumannii,NA,NA
SRR3131209,Acinetobacter baumannii,NA,NA
SRR3131210,Acinetobacter baumannii,NA,NA
SRR3131211,Acinetobacter baumannii,NA,NA
SRR3131212,Acinetobacter baumannii,NA,NA
SRR3131213,Acinetobacter baumannii,NA,NA
SRR3131214,Acinetobacter baumannii,NA,NA
SRR3131215,Acinetobacter baumannii,NA,NA
SRR3131217,Acinetobacter baumannii,NA,NA
SRR3131219,Acinetobacter baumannii,NA,NA
SRR3131220,Acinetobacter baumannii,NA,NA
SRR3131221,Acinetobacter baumannii,NA,NA
SRR3131222,Acinetobacter baumannii,NA,NA
SRR3131223,Acinetobacter baumannii,NA,NA
SRR3131224,Acinetobacter baumannii,NA,NA
SRR3131225,Acinetobacter baumannii,NA,NA
SRR3131226,Acinetobacter baumannii,NA,NA
SRR3131227,Acinetobacter baumannii,NA,NA
SRR3131228,Acinetobacter baumannii,NA,NA
SRR3131229,Acinetobacter baumannii,NA,NA
SRR3131230,Acinetobacter baumannii,NA,NA
SRR3131234,Acinetobacter baumannii,NA,NA
SRR3131235,Acinetobacter baumannii,NA,NA
SRR3131236,Acinetobacter baumannii,NA,NA
SRR3131237,Acinetobacter baumannii,NA,NA
SRR3131238,Acinetobacter baumannii,NA,NA
SRR3131239,Acinetobacter baumannii,NA,NA
SRR3131240,Acinetobacter baumannii,NA,NA
SRR3133084,Acinetobacter baumannii,NA,NA
SRR3133086,Acinetobacter baumannii,NA,NA
SRR3133087,Acinetobacter baumannii,NA,NA
SRR3133088,Acinetobacter baumannii,NA,NA
SRR3133089,Acinetobacter baumannii,NA,NA
SRR3133090,Acinetobacter baumannii,NA,NA
SRR3133091,Acinetobacter baumannii,NA,NA
SRR3133092,Acinetobacter baumannii,NA,NA
SRR3133093,Acinetobacter baumannii,NA,NA
SRR3133094,Acinetobacter baumannii,NA,NA
SRR3133095,Acinetobacter baumannii,NA,NA
SRR3133096,Acinetobacter baumannii,NA,NA
SRR3133097,Acinetobacter baumannii,NA,NA
SRR3133098,Acinetobacter baumannii,NA,NA
SRR3133099,Acinetobacter baumannii,NA,NA
SRR3133100,Acinetobacter baumannii,NA,NA
SRR3133101,Acinetobacter baumannii,NA,NA
SRR3133102,Acinetobacter baumannii,NA,NA
SRR3133103,Acinetobacter baumannii,NA,NA
SRR3133104,Acinetobacter baumannii,NA,NA
SRR3133105,Acinetobacter baumannii,NA,NA
SRR3133106,Acinetobacter baumannii,NA,NA
SRR3133107,Acinetobacter baumannii,NA,NA
SRR3135171,Acinetobacter baumannii,NA,NA
SRR3135275,Acinetobacter baumannii,NA,NA
SRR3137567,Acinetobacter baumannii,NA,NA
SRR3137568,Acinetobacter baumannii,NA,NA
SRR3137569,Acinetobacter baumannii,NA,NA
SRR3137570,Acinetobacter baumannii,NA,NA
SRR3137571,Acinetobacter baumannii,NA,NA
SRR3137572,Acinetobacter baumannii,NA,NA
SRR3137574,Acinetobacter baumannii,NA,NA
SRR3137575,Acinetobacter baumannii,NA,NA
SRR3137579,Acinetobacter baumannii,NA,NA
SRR3137580,Acinetobacter baumannii,NA,NA
SRR3137581,Acinetobacter baumannii,NA,NA
SRR3137582,Acinetobacter baumannii,NA,NA
SRR3137583,Acinetobacter baumannii,NA,NA
SRR3137584,Acinetobacter baumannii,NA,NA
SRR3137585,Acinetobacter baumannii,NA,NA
SRR3137586,Acinetobacter baumannii,NA,NA
SRR3137587,Acinetobacter baumannii,NA,NA
SRR3137588,Acinetobacter baumannii,NA,NA
SRR3137589,Acinetobacter baumannii,NA,NA
SRR3137590,Acinetobacter baumannii,NA,NA
SRR3146378,Acinetobacter baumannii,NA,NA
SRR3146379,Acinetobacter baumannii,NA,NA
SRR3146380,Acinetobacter baumannii,NA,NA
SRR3146381,Acinetobacter baumannii,NA,NA
SRR3146382,Acinetobacter baumannii,NA,NA
SRR3146383,Acinetobacter baumannii,NA,NA
SRR3146384,Acinetobacter baumannii,NA,NA
SRR3146385,Acinetobacter baumannii,NA,NA
SRR3146387,Acinetobacter baumannii,NA,NA
SRR3151888,Acinetobacter baumannii,NA,NA
SRR3151889,Acinetobacter baumannii,NA,NA
SRR3151890,Acinetobacter baumannii,NA,NA
SRR3152160,Acinetobacter baumannii,NA,NA
SRR3152492,Acinetobacter baumannii,NA,NA
SRR3152495,Acinetobacter baumannii,NA,NA
SRR3152496,Acinetobacter baumannii,NA,NA
SRR3152497,Acinetobacter baumannii,NA,NA
SRR3152498,Acinetobacter baumannii,NA,NA
SRR3152499,Acinetobacter baumannii,NA,NA
SRR3152500,Acinetobacter baumannii,NA,NA
SRR3152502,Acinetobacter baumannii,NA,NA
SRR3152503,Acinetobacter baumannii,NA,NA
SRR3152504,Acinetobacter baumannii,NA,NA
SRR3152506,Acinetobacter baumannii,NA,NA
SRR3152507,Acinetobacter baumannii,NA,NA
SRR3152508,Acinetobacter baumannii,NA,NA
SRR3159147,Acinetobacter baumannii,NA,NA
SRR3159148,Acinetobacter baumannii,NA,NA
SRR3159150,Acinetobacter baumannii,NA,NA
SRR3159151,Acinetobacter baumannii,NA,NA
SRR3159152,Acinetobacter baumannii,NA,NA
SRR3159153,Acinetobacter baumannii,NA,NA
SRR3159154,Acinetobacter baumannii,NA,NA
SRR3159155,Acinetobacter baumannii,NA,NA
SRR3159156,Acinetobacter baumannii,NA,NA
SRR3159157,Acinetobacter baumannii,NA,NA
SRR3159159,Acinetobacter baumannii,NA,NA
SRR3159160,Acinetobacter baumannii,NA,NA
SRR3159162,Acinetobacter baumannii,NA,NA
SRR3159163,Acinetobacter baumannii,NA,NA
SRR3159165,Acinetobacter baumannii,NA,NA
SRR3159166,Acinetobacter baumannii,NA,NA
SRR3159167,Acinetobacter baumannii,NA,NA
SRR3159168,Acinetobacter baumannii,NA,NA
SRR3159169,Acinetobacter baumannii,NA,NA
SRR3159170,Acinetobacter baumannii,NA,NA
SRR3168639,Acinetobacter baumannii,NA,NA
SRR3168640,Acinetobacter baumannii,NA,NA
SRR3168642,Acinetobacter baumannii,NA,NA
SRR3168648,Acinetobacter baumannii,NA,NA
SRR3170229,Acinetobacter baumannii,NA,NA
SRR3170230,Acinetobacter baumannii,NA,NA
SRR3170231,Acinetobacter baumannii,NA,NA
SRR3170232,Acinetobacter baumannii,NA,NA
SRR3170234,Acinetobacter baumannii,NA,NA
SRR3170235,Acinetobacter baumannii,NA,NA
SRR3170236,Acinetobacter baumannii,NA,NA
SRR3170237,Acinetobacter baumannii,NA,NA
SRR3170239,Acinetobacter baumannii,NA,NA
SRR3170240,Acinetobacter baumannii,NA,NA
SRR3170241,Acinetobacter baumannii,NA,NA
SRR3170242,Acinetobacter baumannii,NA,NA
SRR3170243,Acinetobacter baumannii,NA,NA
SRR3170244,Acinetobacter baumannii,NA,NA
SRR3170246,Acinetobacter baumannii,NA,NA
SRR3170254,Acinetobacter baumannii,NA,NA
SRR3170255,Acinetobacter baumannii,NA,NA
SRR3170256,Acinetobacter baumannii,NA,NA
SRR3170257,Acinetobacter baumannii,NA,NA
SRR3170260,Acinetobacter baumannii,NA,NA
SRR3170261,Acinetobacter baumannii,NA,NA
SRR3170262,Acinetobacter baumannii,NA,NA
SRR3170263,Acinetobacter baumannii,NA,NA
SRR3170264,Acinetobacter baumannii,NA,NA
SRR3170266,Acinetobacter baumannii,NA,NA
SRR3170267,Acinetobacter baumannii,NA,NA
SRR3170530,Acinetobacter baumannii,NA,NA
SRR3170587,Acinetobacter baumannii,NA,NA
SRR3170588,Acinetobacter baumannii,NA,NA
SRR3170589,Acinetobacter baumannii,NA,NA
SRR3170590,Acinetobacter baumannii,NA,NA
SRR3170591,Acinetobacter baumannii,NA,NA
SRR3170592,Acinetobacter baumannii,NA,NA
SRR3170593,Acinetobacter baumannii,NA,NA
SRR3170594,Acinetobacter baumannii,NA,NA
SRR3170595,Acinetobacter baumannii,NA,NA
SRR3170596,Acinetobacter baumannii,NA,NA
SRR3170597,Acinetobacter baumannii,NA,NA
SRR3170598,Acinetobacter baumannii,NA,NA
SRR3170599,Acinetobacter baumannii,NA,NA
SRR3170600,Acinetobacter baumannii,NA,NA
SRR3170601,Acinetobacter baumannii,NA,NA
SRR3170602,Acinetobacter baumannii,NA,NA
SRR3170603,Acinetobacter baumannii,NA,NA
SRR3170604,Acinetobacter baumannii,NA,NA
SRR3170605,Acinetobacter baumannii,NA,NA
SRR3170606,Acinetobacter baumannii,NA,NA
SRR3170608,Acinetobacter baumannii,NA,NA
SRR3170609,Acinetobacter baumannii,NA,NA
SRR3170610,Acinetobacter baumannii,NA,NA
SRR3170733,Acinetobacter baumannii,NA,NA
SRR3170734,Acinetobacter baumannii,NA,NA
SRR3170735,Acinetobacter baumannii,NA,NA
SRR3170736,Acinetobacter baumannii,NA,NA
SRR3170737,Acinetobacter baumannii,NA,NA
SRR3170738,Acinetobacter baumannii,NA,NA
SRR3170739,Acinetobacter baumannii,NA,NA
SRR3170740,Acinetobacter baumannii,NA,NA
SRR3170768,Acinetobacter baumannii,NA,NA
SRR3170770,Acinetobacter baumannii,NA,NA
SRR3170771,Acinetobacter baumannii,NA,NA
SRR3170772,Acinetobacter baumannii,NA,NA
SRR3170773,Acinetobacter baumannii,NA,NA
SRR3170774,Acinetobacter baumannii,NA,NA
SRR3170775,Acinetobacter baumannii,NA,NA
SRR3170776,Acinetobacter baumannii,NA,NA
SRR3170777,Acinetobacter baumannii,NA,NA
SRR3170778,Acinetobacter baumannii,NA,NA
SRR3170779,Acinetobacter baumannii,NA,NA
SRR3170780,Acinetobacter baumannii,NA,NA
SRR3170781,Acinetobacter baumannii,NA,NA
SRR3170782,Acinetobacter baumannii,NA,NA
SRR3170783,Acinetobacter baumannii,NA,NA
SRR3170784,Acinetobacter baumannii,NA,NA
SRR3170785,Acinetobacter baumannii,NA,NA
SRR3170786,Acinetobacter baumannii,NA,NA
SRR3170788,Acinetobacter baumannii,NA,NA
SRR3197175,Acinetobacter baumannii,NA,NA
SRR3197589,Acinetobacter baumannii,NA,NA
SRR3197590,Acinetobacter baumannii,NA,NA
SRR3197591,Acinetobacter baumannii,NA,NA
SRR3197592,Acinetobacter baumannii,NA,NA
SRR3197595,Acinetobacter baumannii,NA,NA
SRR3197599,Acinetobacter baumannii,NA,NA
SRR3197603,Acinetobacter baumannii,NA,NA
SRR3197604,Acinetobacter baumannii,NA,NA
SRR3197605,Acinetobacter baumannii,NA,NA
SRR3197606,Acinetobacter baumannii,NA,NA
SRR3197607,Acinetobacter baumannii,NA,NA
SRR3197608,Acinetobacter baumannii,NA,NA
SRR3197609,Acinetobacter baumannii,NA,NA
SRR3197610,Acinetobacter baumannii,NA,NA
SRR3216436,Acinetobacter baumannii,NA,NA
SRR3216437,Acinetobacter baumannii,NA,NA
SRR3216439,Acinetobacter baumannii,NA,NA
SRR3216440,Acinetobacter baumannii,NA,NA
SRR3216441,Acinetobacter baumannii,NA,NA
SRR3216442,Acinetobacter baumannii,NA,NA
SRR3217267,Acinetobacter baumannii,NA,NA
SRR3217268,Acinetobacter baumannii,NA,NA
SRR3217269,Acinetobacter baumannii,NA,NA
SRR3217272,Acinetobacter baumannii,NA,NA
SRR3217321,Acinetobacter baumannii,NA,NA
SRR3217322,Acinetobacter baumannii,NA,NA
SRR3217324,Acinetobacter baumannii,NA,NA
SRR3217325,Acinetobacter baumannii,NA,NA
SRR3217328,Acinetobacter baumannii,NA,NA
SRR3217329,Acinetobacter baumannii,NA,NA
SRR3217330,Acinetobacter baumannii,NA,NA
SRR3217331,Acinetobacter baumannii,NA,NA
SRR3217332,Acinetobacter baumannii,NA,NA
SRR3217389,Acinetobacter baumannii,NA,NA
SRR3217390,Acinetobacter baumannii,NA,NA
SRR3217391,Acinetobacter baumannii,NA,NA
SRR3217392,Acinetobacter baumannii,NA,NA
SRR3217394,Acinetobacter baumannii,NA,NA
SRR3217395,Acinetobacter baumannii,NA,NA
SRR3217397,Acinetobacter baumannii,NA,NA
SRR3217399,Acinetobacter baumannii,NA,NA
SRR3217401,Acinetobacter baumannii,NA,NA
SRR3217402,Acinetobacter baumannii,NA,NA
SRR3217403,Acinetobacter baumannii,NA,NA
SRR3217405,Acinetobacter baumannii,NA,NA
SRR3217406,Acinetobacter baumannii,NA,NA
SRR3217407,Acinetobacter baumannii,NA,NA
SRR3218381,Acinetobacter baumannii,NA,NA
SRR3218382,Acinetobacter baumannii,NA,NA
SRR3218383,Acinetobacter baumannii,NA,NA
SRR3218385,Acinetobacter baumannii,NA,NA
SRR3218386,Acinetobacter baumannii,NA,NA
SRR3218388,Acinetobacter baumannii,NA,NA
SRR3218389,Acinetobacter baumannii,NA,NA
SRR3218390,Acinetobacter baumannii,NA,NA
SRR3218392,Acinetobacter baumannii,NA,NA
SRR3218393,Acinetobacter baumannii,NA,NA
SRR3218394,Acinetobacter baumannii,NA,NA
SRR3218395,Acinetobacter baumannii,NA,NA
SRR3218396,Acinetobacter baumannii,NA,NA
SRR3218397,Acinetobacter baumannii,NA,NA
SRR3218399,Acinetobacter baumannii,NA,NA
SRR3218401,Acinetobacter baumannii,NA,NA
SRR3218402,Acinetobacter baumannii,NA,NA
SRR3222485,Acinetobacter baumannii,NA,NA
SRR3222486,Acinetobacter baumannii,NA,NA
SRR3222487,Acinetobacter baumannii,NA,NA
SRR3222489,Acinetobacter baumannii,NA,NA
SRR3222490,Acinetobacter baumannii,NA,NA
SRR3222491,Acinetobacter baumannii,NA,NA
SRR3222492,Acinetobacter baumannii,NA,NA
SRR3222494,Acinetobacter baumannii,NA,NA
SRR3222499,Acinetobacter baumannii,NA,NA
SRR3223161,Acinetobacter baumannii,NA,NA
SRR3223162,Acinetobacter baumannii,NA,NA
SRR3223163,Acinetobacter baumannii,NA,NA
SRR3223164,Acinetobacter baumannii,NA,NA
SRR3223165,Acinetobacter baumannii,NA,NA
SRR3223166,Acinetobacter baumannii,NA,NA
SRR3223167,Acinetobacter baumannii,NA,NA
SRR3223170,Acinetobacter baumannii,NA,NA
SRR3223172,Acinetobacter baumannii,NA,NA
SRR3223173,Acinetobacter baumannii,NA,NA
SRR3223174,Acinetobacter baumannii,NA,NA
SRR3223175,Acinetobacter baumannii,NA,NA
SRR3223177,Acinetobacter baumannii,NA,NA
SRR3223178,Acinetobacter baumannii,NA,NA
SRR3223179,Acinetobacter baumannii,NA,NA
SRR3223180,Acinetobacter baumannii,NA,NA
SRR3223466,Acinetobacter baumannii,NA,NA
SRR3223467,Acinetobacter baumannii,NA,NA
SRR3223469,Acinetobacter baumannii,NA,NA
SRR3223470,Acinetobacter baumannii,NA,NA
SRR3223472,Acinetobacter baumannii,NA,NA
SRR3223476,Acinetobacter baumannii,NA,NA
SRR3223478,Acinetobacter baumannii,NA,NA
SRR3223479,Acinetobacter baumannii,NA,NA
SRR3223481,Acinetobacter baumannii,NA,NA
SRR3223482,Acinetobacter baumannii,NA,NA
SRR3223485,Acinetobacter baumannii,NA,NA
SRR3223552,Acinetobacter baumannii,NA,NA
SRR3223554,Acinetobacter baumannii,NA,NA
SRR3223555,Acinetobacter baumannii,NA,NA
SRR3223556,Acinetobacter baumannii,NA,NA
SRR3223557,Acinetobacter baumannii,NA,NA
SRR3223558,Acinetobacter baumannii,NA,NA
SRR3223560,Acinetobacter baumannii,NA,NA
SRR3223562,Acinetobacter baumannii,NA,NA
SRR3223564,Acinetobacter baumannii,NA,NA
SRR3223910,Acinetobacter baumannii,NA,NA
SRR3223911,Acinetobacter baumannii,NA,NA
SRR3223912,Acinetobacter baumannii,NA,NA
SRR3223913,Acinetobacter baumannii,NA,NA
SRR3223915,Acinetobacter baumannii,NA,NA
SRR3223917,Acinetobacter baumannii,NA,NA
SRR3223919,Acinetobacter baumannii,NA,NA
SRR3223920,Acinetobacter baumannii,NA,NA
SRR3223921,Acinetobacter baumannii,NA,NA
SRR3223922,Acinetobacter baumannii,NA,NA
SRR3223923,Acinetobacter baumannii,NA,NA
SRR3223924,Acinetobacter baumannii,NA,NA
SRR3223925,Acinetobacter baumannii,NA,NA
SRR3223927,Acinetobacter baumannii,NA,NA
SRR3223929,Acinetobacter baumannii,NA,NA
SRR3224227,Acinetobacter baumannii,NA,NA
SRR3224228,Acinetobacter baumannii,NA,NA
SRR3224230,Acinetobacter baumannii,NA,NA
SRR3224231,Acinetobacter baumannii,NA,NA
SRR3224232,Acinetobacter baumannii,NA,NA
SRR3224233,Acinetobacter baumannii,NA,NA
SRR3224234,Acinetobacter baumannii,NA,NA
SRR3224235,Acinetobacter baumannii,NA,NA
SRR3224236,Acinetobacter baumannii,NA,NA
SRR3224237,Acinetobacter baumannii,NA,NA
SRR3224238,Acinetobacter baumannii,NA,NA
SRR3224240,Acinetobacter baumannii,NA,NA
SRR3224241,Acinetobacter baumannii,NA,NA
SRR3224243,Acinetobacter baumannii,NA,NA
SRR3224244,Acinetobacter baumannii,NA,NA
SRR3224794,Acinetobacter baumannii,NA,NA
SRR3224796,Acinetobacter baumannii,NA,NA
SRR3224797,Acinetobacter baumannii,NA,NA
SRR3224798,Acinetobacter baumannii,NA,NA
SRR3224799,Acinetobacter baumannii,NA,NA
SRR3224800,Acinetobacter baumannii,NA,NA
SRR3224801,Acinetobacter baumannii,NA,NA
SRR3224803,Acinetobacter baumannii,NA,NA
SRR3224804,Acinetobacter baumannii,NA,NA
SRR3224805,Acinetobacter baumannii,NA,NA
SRR3224808,Acinetobacter baumannii,NA,NA
SRR3224810,Acinetobacter baumannii,NA,NA
SRR3224812,Acinetobacter baumannii,NA,NA
SRR3224984,Acinetobacter baumannii,NA,NA
SRR3224985,Acinetobacter baumannii,NA,NA
SRR3224986,Acinetobacter baumannii,NA,NA
SRR3224987,Acinetobacter baumannii,NA,NA
SRR3224988,Acinetobacter baumannii,NA,NA
SRR3224989,Acinetobacter baumannii,NA,NA
SRR3224990,Acinetobacter baumannii,NA,NA
SRR3224992,Acinetobacter baumannii,NA,NA
SRR3224993,Acinetobacter baumannii,NA,NA
SRR3224994,Acinetobacter baumannii,NA,NA
SRR3224996,Acinetobacter baumannii,NA,NA
SRR3224997,Acinetobacter baumannii,NA,NA
SRR3224998,Acinetobacter baumannii,NA,NA
SRR3225002,Acinetobacter baumannii,NA,NA
SRR3225003,Acinetobacter baumannii,NA,NA
SRR3225041,Acinetobacter baumannii,NA,NA
SRR3225042,Acinetobacter baumannii,NA,NA
SRR3225043,Acinetobacter baumannii,NA,NA
SRR3225044,Acinetobacter baumannii,NA,NA
SRR3225046,Acinetobacter baumannii,NA,NA
SRR3225048,Acinetobacter baumannii,NA,NA
SRR3225049,Acinetobacter baumannii,NA,NA
SRR3225051,Acinetobacter baumannii,NA,NA
SRR3225052,Acinetobacter baumannii,NA,NA
SRR3225058,Acinetobacter baumannii,NA,NA
SRR3225059,Acinetobacter baumannii,NA,NA
SRR3225230,Acinetobacter baumannii,NA,NA
SRR3225231,Acinetobacter baumannii,NA,NA
SRR3225232,Acinetobacter baumannii,NA,NA
SRR3225233,Acinetobacter baumannii,NA,NA
SRR3225235,Acinetobacter baumannii,NA,NA
SRR3225236,Acinetobacter baumannii,NA,NA
SRR3225237,Acinetobacter baumannii,NA,NA
SRR3225238,Acinetobacter baumannii,NA,NA
SRR3225240,Acinetobacter baumannii,NA,NA
SRR3225241,Acinetobacter baumannii,NA,NA
SRR3225242,Acinetobacter baumannii,NA,NA
SRR3225243,Acinetobacter baumannii,NA,NA
SRR3225244,Acinetobacter baumannii,NA,NA
SRR3225245,Acinetobacter baumannii,NA,NA
SRR3225248,Acinetobacter baumannii,NA,NA
SRR3225249,Acinetobacter baumannii,NA,NA
SRR3225250,Acinetobacter baumannii,NA,NA
SRR3226989,Acinetobacter baumannii,NA,NA
SRR3226990,Acinetobacter baumannii,NA,NA
SRR3226993,Acinetobacter baumannii,NA,NA
SRR3226995,Acinetobacter baumannii,NA,NA
SRR3226998,Acinetobacter baumannii,NA,NA
SRR3226999,Acinetobacter baumannii,NA,NA
SRR3227002,Acinetobacter baumannii,NA,NA
SRR3227004,Acinetobacter baumannii,NA,NA
SRR3227005,Acinetobacter baumannii,NA,NA
SRR3227006,Acinetobacter baumannii,NA,NA
SRR3227007,Acinetobacter baumannii,NA,NA
SRR3227008,Acinetobacter baumannii,NA,NA
SRR3227009,Acinetobacter baumannii,NA,NA
SRR3227011,Acinetobacter baumannii,NA,NA
SRR3227012,Acinetobacter baumannii,NA,NA
SRR3227019,Acinetobacter baumannii,NA,NA
SRR3227021,Acinetobacter baumannii,NA,NA
SRR3227023,Acinetobacter baumannii,NA,NA
SRR3227024,Acinetobacter baumannii,NA,NA
SRR3227025,Acinetobacter baumannii,NA,NA
SRR3227026,Acinetobacter baumannii,NA,NA
SRR3227028,Acinetobacter baumannii,NA,NA
SRR3227030,Acinetobacter baumannii,NA,NA
SRR3227031,Acinetobacter baumannii,NA,NA
SRR3227034,Acinetobacter baumannii,NA,NA
SRR3227035,Acinetobacter baumannii,NA,NA
SRR3227037,Acinetobacter baumannii,NA,NA
SRR3227038,Acinetobacter baumannii,NA,NA
SRR3227040,Acinetobacter baumannii,NA,NA
SRR3227045,Acinetobacter baumannii,NA,NA
SRR3227047,Acinetobacter baumannii,NA,NA
SRR3227048,Acinetobacter baumannii,NA,NA
SRR3228473,Acinetobacter baumannii,NA,NA
SRR3228474,Acinetobacter baumannii,NA,NA
SRR3228476,Acinetobacter baumannii,NA,NA
SRR3228478,Acinetobacter baumannii,NA,NA
SRR3228479,Acinetobacter baumannii,NA,NA
SRR3228481,Acinetobacter baumannii,NA,NA
SRR3228488,Acinetobacter baumannii,NA,NA
SRR3228490,Acinetobacter baumannii,NA,NA
SRR3228491,Acinetobacter baumannii,NA,NA
SRR3228492,Acinetobacter baumannii,NA,NA
SRR3228493,Acinetobacter baumannii,NA,NA
SRR3228494,Acinetobacter baumannii,NA,NA
SRR3228495,Acinetobacter baumannii,NA,NA
SRR3228496,Acinetobacter baumannii,NA,NA
SRR3228497,Acinetobacter baumannii,NA,NA
SRR3228498,Acinetobacter baumannii,NA,NA
SRR3228533,Acinetobacter baumannii,NA,NA
SRR3228534,Acinetobacter baumannii,NA,NA
SRR3228535,Acinetobacter baumannii,NA,NA
SRR3228536,Acinetobacter baumannii,NA,NA
